city,corridor,zone,hour,day_of_week,vehicle_count,historical_avg_speed_kmh,is_tech_corridor,rain_factor,target_speed_kmh,congestion_level
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,6,5,256,22.0,0,0.5,6.5,SEVERE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,8,1,467,22.0,0,1.0,5.0,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,7,3,133,18.0,1,1.0,12.9,HEAVY
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,14,5,192,22.0,0,1.0,14.5,HEAVY
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,14,1,566,22.0,0,1.0,6.2,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,23,0,163,12.0,1,1.0,8.2,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,7,6,588,24.0,0,1.0,6.3,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,20,5,227,16.0,1,1.0,4.1,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,2,0,158,48.0,1,1.0,33.2,LOW
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,17,3,195,22.0,0,1.0,8.5,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,16,5,569,20.0,1,1.0,5.6,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,12,1,379,18.0,1,1.0,8.5,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,4,6,266,35.0,0,1.0,20.4,MODERATE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,11,5,315,12.0,1,1.0,4.0,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,7,5,547,18.0,1,1.0,5.5,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,5,5,492,35.0,0,1.0,12.5,HEAVY
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,16,2,231,20.0,1,1.0,12.4,HEAVY
Bengaluru,Central Silk Board Junction,BLR_SOUTH,8,2,496,18.0,1,1.0,4.0,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,5,6,469,48.0,1,1.0,18.3,HEAVY
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,6,1,598,24.0,0,1.0,6.0,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,0,2,318,48.0,1,1.0,25.5,MODERATE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,4,4,534,18.0,1,1.0,5.7,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,18,1,435,18.0,1,1.0,4.0,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,7,3,320,16.0,1,0.5,4.2,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,16,0,271,20.0,1,1.0,11.6,HEAVY
