city,corridor,zone,hour,day_of_week,vehicle_count,historical_avg_speed_kmh,target_speed_kmh,congestion_level
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,13,6,498,14.0,5.0,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,17,1,470,16.0,5.0,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,6,0,369,22.0,10.1,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,7,4,246,25.0,14.7,HEAVY
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,7,6,202,16.0,10.2,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,2,4,296,18.0,9.6,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,6,0,292,14.0,7.6,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,18,0,363,20.0,5.0,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,17,0,439,45.0,8.1,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,18,2,501,16.0,5.0,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,14,6,147,16.0,11.1,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,19,2,180,35.0,10.8,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,15,6,505,22.0,6.9,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,23,5,499,20.0,6.4,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,8,6,85,14.0,10.6,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,11,0,176,25.0,7.8,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,17,5,265,25.0,6.7,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,11,4,462,45.0,7.6,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,2,5,217,20.0,12.4,HEAVY
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,13,4,291,35.0,18.9,HEAVY
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,2,6,340,14.0,6.8,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,22,2,139,14.0,9.8,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,14,5,157,25.0,17.1,HEAVY
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,15,2,432,35.0,13.7,HEAVY
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,10,5,387,14.0,5.0,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,13,1,200,22.0,14.0,HEAVY
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,21,1,456,22.0,5.0,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,9,1,342,45.0,10.3,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,9,6,368,16.0,5.0,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,19,4,380,16.0,5.0,SEVERE
