city,corridor,zone,hour,day_of_week,vehicle_count,historical_avg_speed_kmh,target_speed_kmh
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,13,5,148,18.2,12.9
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,0,3,230,11.0,6.6
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,4,5,183,45.5,30.2
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,2,3,233,16.9,10.1
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,3,6,359,19.5,8.5
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,5,2,108,19.6,14.9
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,18,0,437,24.0,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,22,0,422,29.8,10.7
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,9,5,77,31.7,12.7
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,18,0,283,42.7,11.4
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,2,1,70,9.7,7.9
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,6,0,165,47.7,32.8
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,17,2,191,39.9,13.1
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,16,3,433,31.6,10.8
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,14,3,58,11.5,9.5
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,16,5,397,15.7,6.1
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,5,1,343,48.7,22.4
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,15,4,453,37.2,11.8
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,0,4,450,45.1,14.5
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,1,4,427,12.7,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,11,3,477,10.3,6.0
