hour,day_of_week,vehicle_count,historical_avg_speed,target_speed_kmh
20,1,236,45.6,27.7
8,2,397,52.9,10.7
6,6,362,29.1,11.5
19,4,303,47.9,14.2
7,5,268,46.3,25.6
21,5,120,17.5,14.0
15,6,304,37.0,18.3
3,1,22,33.3,32.1
20,6,277,26.5,14.3
4,3,335,18.3,8.1
11,4,299,57.4,28.8
23,6,361,41.4,16.5
9,1,301,21.9,8.0
19,2,342,14.8,8.0
2,2,325,26.0,11.9
20,5,376,48.9,18.3
7,1,26,20.9,20.0
20,6,152,35.6,26.6
9,6,192,16.5,8.0
5,2,393,52.8,18.2
4,5,326,12.6,8.0
19,1,117,29.1,14.1
15,3,342,39.1,16.8
14,3,279,16.3,8.7
8,4,191,12.4,8.0
13,3,368,38.2,14.8
20,6,128,48.0,37.8
21,0,163,59.1,43.0
3,5,134,16.9,13.1
1,5,220,24.4,15.5
7,2,391,23.1,8.0
19,1,138,22.3,10.3
15,3,244,13.7,8.1
9,3,181,23.4,9.8
2,4,204,34.0,22.4
0,5,25,55.8,53.5
5,1,379,42.1,15.5
10,2,248,48.2,17.0
8,3,271,59.4,19.5
9,2,326,13.9,8.0
20,5,289,54.2,28.1
12,1,130,30.9,24.2
14,3,28,46.5,44.3
17,3,218,56.9,21.7
16,6,342,58.0,24.9
1,3,232,54.3,33.3
9,0,321,58.4,16.3
9,1,316,14.5,8.0
7,1,162,45.9,33.5
7,6,117,55.3,44.5
9,2,390,11.3,8.0
19,5,211,11.6,8.0
21,2,343,21.9,9.4
10,3,364,56.4,13.3
14,4,265,27.9,15.6
17,5,171,25.6,11.0
8,3,21,14.5,8.4
12,2,34,41.7,39.3
17,1,185,37.9,15.7
9,2,74,36.9,19.4
2,6,331,40.2,18.0
6,6,361,51.6,20.6
14,6,358,23.4,9.4
0,2,316,37.8,17.9
10,4,89,40.8,20.8
11,3,312,27.3,13.1
3,4,37,40.2,37.7
14,1,328,14.4,8.0
2,5,127,25.3,19.9
0,2,70,41.3,36.5
14,5,119,48.7,39.0
12,1,244,27.0,16.0
8,1,138,51.9,24.0
23,4,240,56.7,34.0
23,4,102,27.3,22.7
10,3,125,55.1,26.2
23,5,381,39.9,14.6
2,5,26,57.5,55.0
5,6,67,57.2,50.8
7,4,388,13.2,8.0
14,0,366,18.3,8.0
23,6,29,42.3,40.3
23,0,382,25.0,9.1
20,5,207,14.2,9.3
17,0,307,54.8,16.1
12,4,58,54.3,49.1
9,3,366,39.1,9.1
21,0,86,25.9,22.2
12,2,325,10.2,8.0
4,0,182,20.7,14.4
23,2,333,40.4,18.0
18,4,269,46.2,15.3
6,3,101,53.1,44.2
16,3,95,38.4,32.3
5,6,153,45.1,33.6
20,4,136,52.5,40.6
1,0,295,15.6,8.0
22,0,79,20.8,18.1
3,2,381,15.4,8.0
6,5,193,45.9,31.1
19,3,389,51.6,10.9
12,1,141,29.7,22.7
12,4,43,53.7,49.9
10,1,234,17.5,8.0
15,3,380,20.4,8.0
5,3,219,56.3,35.8
10,0,36,42.8,24.1
3,1,377,54.0,20.1
17,4,354,58.5,14.4
9,2,234,22.7,8.3
9,4,283,21.6,8.0
19,1,40,42.1,23.6
17,4,170,33.1,14.2
14,1,231,22.0,13.5
14,5,300,46.4,23.2
2,1,345,39.9,17.0
17,3,260,44.2,15.0
21,3,240,29.8,17.9
6,2,365,41.2,16.1
4,1,303,44.2,21.9
13,4,191,35.4,24.1
13,6,215,52.0,33.4
2,4,303,27.5,13.6
13,5,367,36.4,14.1
3,2,213,16.3,10.5
23,5,318,51.6,24.3
20,6,54,20.4,18.6
10,4,76,25.8,13.5
15,6,173,24.9,17.7
11,4,284,47.1,24.8
8,4,265,23.5,8.0
11,0,73,13.4,11.8
20,5,156,12.8,9.5
5,3,240,47.0,28.2
21,1,230,34.3,21.2
4,2,150,54.6,41.0
18,5,361,20.4,8.0
21,3,367,55.5,21.6
8,1,32,43.0,24.4
23,2,322,58.3,27.0
